offline_datapoint_5 1687086662 98,487
offline_datapoint_28 1687086664 0,000
offline_datapoint_34 1687086662 7120,219
offline_datapoint_13 1687086664 4609,000
offline_datapoint_12 1687086662 0,269
offline_datapoint_6 1687086662 195248,667
offline_datapoint_20 1687086662 13141,737
offline_datapoint_27 1687086664 0,000
offline_datapoint_0 1687086665 5,000
offline_datapoint_14 1687086665 0,000
offline_datapoint_7 1687086667 8732745728,000
offline_datapoint_21 1687086665 9474,787
offline_datapoint_22 1687086665 2,035
offline_datapoint_24 1687086665 8,809
offline_datapoint_3 1687086665 12,456
offline_datapoint_1 1687086665 2,556
offline_datapoint_15 1687086665 21,836
offline_datapoint_29 1687086665 12,456
offline_datapoint_8 1687086665 0,992
offline_datapoint_23 1687086665 0,992
offline_datapoint_2 1687086665 1,513
offline_datapoint_16 1687086665 17,667
offline_datapoint_30 1687086665 2,035
offline_datapoint_9 1687086665 1,513
offline_datapoint_17 1687086665 92,039
offline_datapoint_19 1687086665 85,665
offline_datapoint_33 1687086665 84,413
offline_datapoint_31 1687086665 94,756
offline_datapoint_10 1687086665 75,571
offline_datapoint_25 1687086665 77,292
offline_datapoint_4 1687086665 94,096
offline_datapoint_18 1687086665 97,249
offline_datapoint_32 1687086665 95,029
offline_datapoint_11 1687086665 81,083
offline_datapoint_26 1687086665 92,242
offline_datapoint_5 1687086665 94,321
offline_datapoint_28 1687086667 0,000
offline_datapoint_34 1687086665 8462,978
offline_datapoint_13 1687086667 4608,000
offline_datapoint_12 1687086665 0,693
offline_datapoint_6 1687086665 405694,717
offline_datapoint_20 1687086665 0,000
offline_datapoint_27 1687086667 0,000
offline_datapoint_0 1687086668 0,333
offline_datapoint_14 1687086668 0,000
offline_datapoint_7 1687086670 8732561408,000
offline_datapoint_21 1687086668 1280,314
offline_datapoint_22 1687086668 0,572
offline_datapoint_24 1687086668 0,051
offline_datapoint_3 1687086668 5,777
offline_datapoint_1 1687086668 0,051
offline_datapoint_15 1687086668 4,736
offline_datapoint_29 1687086668 1,092
offline_datapoint_8 1687086668 0,051
offline_datapoint_23 1687086668 0,051
offline_datapoint_2 1687086668 46,902
offline_datapoint_16 1687086668 41,696
offline_datapoint_30 1687086668 0,051
offline_datapoint_9 1687086668 0,572
offline_datapoint_17 1687086668 97,041
offline_datapoint_19 1687086668 98,758
offline_datapoint_33 1687086668 93,183
offline_datapoint_31 1687086668 99,589
offline_datapoint_10 1687086668 90,587
offline_datapoint_25 1687086668 96,923
offline_datapoint_4 1687086668 97,299
offline_datapoint_18 1687086668 99,582
offline_datapoint_32 1687086668 51,684
offline_datapoint_11 1687086668 57,873
offline_datapoint_26 1687086668 98,151
offline_datapoint_5 1687086668 98,592
offline_datapoint_28 1687086670 0,000
offline_datapoint_34 1687086668 6491,523
offline_datapoint_13 1687086670 4605,000
offline_datapoint_12 1687086668 0,559
offline_datapoint_6 1687086668 322046,168
offline_datapoint_20 1687086668 5458,410
offline_datapoint_27 1687086670 0,000
offline_datapoint_0 1687086671 0,333
offline_datapoint_14 1687086671 0,000
offline_datapoint_7 1687086673 8732504064,000
offline_datapoint_21 1687086671 3001,027
offline_datapoint_22 1687086671 0,000
offline_datapoint_24 1687086671 12,905
offline_datapoint_3 1687086671 39,503
offline_datapoint_1 1687086671 0,000
offline_datapoint_15 1687086671 4,560
offline_datapoint_29 1687086671 0,388
offline_datapoint_8 1687086671 0,000
offline_datapoint_23 1687086671 0,000
offline_datapoint_2 1687086671 0,000
offline_datapoint_16 1687086671 1,953
offline_datapoint_30 1687086671 5,603
offline_datapoint_9 1687086671 17,599
offline_datapoint_17 1687086671 97,247
offline_datapoint_19 1687086671 80,239
offline_datapoint_33 1687086671 53,701
offline_datapoint_31 1687086671 98,744
offline_datapoint_10 1687086671 91,882
offline_datapoint_25 1687086671 98,193
